input_text,priority_binned,bug_resolution_time
Webflow 2.2 problem when using MVC view resolver,Medium,Medium-Term
Regression in showing global messages only,Medium,Medium-Term
FlowViewResponseStateManager should call delegate isPostback(),Low,Short-Term
javax.faces.ViewState hidden field resolves to Spring WebFlow state id instead of outer faces state,Medium,Short-Term
FlowFacesContext.newInstance should take into account that the incoming request could be a faces request and put away the original FacesContext so that it could be restored upon FlowFacesContext.release,Medium,Short-Term
PortletExternalContextImpl should mimic the behavior of the jsfportletbridge implementation,Low,Long-Term
issues regarding https://jira.springframework.org/browse/SWF-1383 fix,Low,Medium-Term
MessageContextErrors doesn't obey the Errors contract,Medium,Medium-Term
servletRelative redirects don't work with default-servlet-handler,Medium,Medium-Term
Views are not inherited from parent flow,Low,Long-Term
Spring Faces throws NPE when writing flow state if JSF servlet is called instead of Spring Dispatcher Servlet,Medium,Medium-Term
FlowExecutionImpl: handleException ignores result of another handleException,Low,Long-Term
spring webflow 2.1.0 integration with spring security 3.0.2,High,Long-Term
IllegalArgumentException in ConvertingPropertyEditorAdapter due to invalid BeanWrapper expression,Medium,Long-Term
SecurityFlowExecutionListener compatibility with Security 3,Low,Short-Term
Changelog version typo,Low,Short-Term
GenericConversionService for String.class causes duplicate converters,Low,Short-Term
Spring WebFlow 2.1.0 is incompatible with JSF 1.2 (MOJORRA),Low,Medium-Term
Removing <script> tags from a partial response causes issues when using RichFaces data tables,Low,Long-Term
JSF Centric Integration,Medium,Long-Term
Merge fixes from SWF 2.0.6,Medium,Long-Term
Add support for delegating to a Spring MVC ViewResolver from a JSF ViewHandler,Medium,Long-Term
Provide support for resolving messages from a MessageSource in a JSF view.,Medium,Long-Term
Provide Facelets tags for Spring Security,Medium,Long-Term
*SelectionTrackingListDataModel needs more reference documentation,Low,Long-Term
"After a4j:commandLink execution and save w/validation failure subsequent calls to ""save"" flow won't engage",Medium,Long-Term
"<sf:commandLink /> and <sf:commandButton />: ""disabled"" attribute not working",Medium,Long-Term
No api documentation for spring-js library,Medium,Long-Term
datePattern attribute not honored in Spring JS decorator for Dojo DateTextBox,High,Long-Term
Form elements do not get properly decorated when the 'widgetAttrs' property is omitted from the decoration,Medium,Long-Term
Spring.ElementDecoration takes the wrong element name when submitting a form,Medium,Long-Term
Split out JSF 2 specific methods from FlowFacesContext for backwards compatibility with JSF 1.2,Low,Long-Term
AjaxTilesView does not handle cascaded attributes properly for dynamically generated Tiles definitions.,Medium,Long-Term
Incorrect distribution of methods between FlowApplication and Jsf2FlowApplication,Low,Short-Term
Spring web flow looses the extension ( as configured in the servlet mapping ) whenever redirects a request on session timeout.,Medium,Medium-Term
Custom converters don[t work when adding subclassing FacesConversionService and overriding method,Medium,Medium-Term
"Using history=""invalidate"" results in ConversionExecutorNotFoundException where target class is org.springframework.webflow.engine.History",Low,Medium-Term
MessageContextErrors ResolveMessageCodes,Low,Long-Term
Incorrect PhaseListener execution order,Medium,Long-Term
NullPointerException in org.springframework.faces.ui.ProgressiveUICommand when the Facelets included with Mojarra 2.0.2 is enabled,Medium,Long-Term
The version of JSF in jsf-booking and swf-booking-faces pom.xml should be JSF 2.0 (not 1.2),Low,Long-Term
AjaxTilesView fails to render multiple fragments,Low,Short-Term
Registering implementation of Mapper in classes extending AbstractMvcView is not trivial,Medium,Medium-Term
Converter to Collection type is wrapped with a second Collection,Medium,Short-Term
Hyphen / dash (-) not allowed in modelAttribute value,Low,Short-Term
spring-webflow-2.0-maintenance branch does not build,Low,Medium-Term
